date,symbol,name,open,high,low,close,prev_close,volume
2026-08-25,ALLDIGI,ALLDIGI TECH LIMITED,818.9,818.9,806.1,814.85,814.85,3045
2026-08-25,ABDL,ALLIED BLEND N DISTILS L,615.0,643.9,613.4,633.45,610.35,1119810
2026-08-25,ADSL,ALLIED DIGITAL SERV. LTD,107.35,108.9,106.0,108.51,107.56,63019
2026-08-25,ALMONDZ,ALMONDZ GLOBAL SEC LTD,14.2,15.5,14.2,15.25,14.2,701633
2026-08-25,ALOKINDS,ALOK INDUSTRIES LIMITED,11.43,11.64,11.23,11.29,11.48,4447573
2026-08-25,ALPA,ALPA LABORATORIES LTD,63.6,63.6,61.5,62.09,61.66,4708
2026-08-25,ALPINETEX,ALPINE TEXWORLD LIMITED,56.94,57.29,55.55,55.84,57.33,135275
2026-08-25,ALUFLUOR,ALUFLUORIDE LTD.,457.9,458.6,451.0,452.0,458.6,4291
2026-08-25,AMAGI,AMAGI MEDIA LABS LIMITED,585.8,590.9,549.9,581.35,585.8,255641
2026-08-25,AMAL,AMAL LTD.,761.1,789.7,750.05,754.5,761.0,6381
2026-08-25,ARE&M,AMARA RAJA ENERGY MOB LTD,922.8,927.95,918.0,920.85,922.8,244774
2026-08-25,AMARJOTHI,AMARJOTHI SPINNING MILL L,158.61,165.0,157.0,160.05,161.37,1788
2026-08-25,AMBER,AMBER ENTERPRISES (I) LTD,7307.5,7445.0,7307.5,7432.0,7378.0,170338
2026-08-25,AMBICAAGAR,AMBICA AGAR & AROMAINDLTD,24.75,25.6,24.43,25.42,24.86,8821
2026-08-25,AMBIKCO,AMBIKA COTTON MILL LTD.,1666.8,1677.6,1604.5,1629.7,1662.2,15414
2026-08-25,AMBUJACEM,AMBUJA CEMENTS LTD,408.0,413.1,405.0,413.1,408.75,1476314
2026-08-25,AMDIND,AMD INDUSTRIES LIMITED,52.49,54.7,52.49,53.47,53.56,5689
2026-08-25,AMNPLST,AMINES & PLASTICIZERS LTD,187.01,192.0,185.35,187.73,188.91,3079
2026-08-25,AEROPLANE,AMIR CHAND JAG KUM (E) L,173.06,182.4,173.06,180.39,175.66,691459
2026-08-25,AMJLAND,AMJ LAND HOLDINGS LIMITED,38.99,39.25,38.01,38.32,38.56,15242
2026-08-25,AMRUTANJAN,AMRUTAJAN HEALTH LTD,524.9,536.05,520.1,523.2,522.1,128011
2026-08-25,ARSSBL,ANAND RATHI SH N STK BR L,526.0,546.05,521.15,537.35,526.2,352745
2026-08-25,ANANDRATHI,ANAND RATHI WEALTH LTD,2170.0,2173.0,2151.3,2164.4,2167.9,138326
2026-08-25,ANANTRAJ,ANANT RAJ LIMITED,614.0,616.4,609.0,613.15,614.6,821262
2026-08-25,ACL,ANDHRA CEMENTS LIMITED,44.6,46.0,44.0,44.3,44.81,20682
2026-08-25,ANDHRAPAP,ANDHRA PAPER LIMITED,60.99,61.49,59.33,59.66,60.8,157602
2026-08-25,ANDHRSUGAR,ANDHRA SUGARS LTD,99.86,100.39,97.5,97.74,99.28,489160
2026-08-25,ANDREWYU,ANDREW YULE & CO. LTD.,26.11,26.9,26.11,26.76,26.44,63676
2026-08-25,ANGELONE,ANGEL ONE LIMITED,286.8,301.55,284.0,300.9,286.0,10825633
2026-08-25,ANIKINDS,ANIK INDUSTRIES LTD,46.2,48.49,46.0,46.53,45.96,42656
2026-08-25,APCL,ANJANI PORTLAND CEM LTD,104.6,104.6,101.5,101.64,101.47,2080
2026-08-25,AHCL,ANLON HEALTHCARE LIMITED,15.45,15.45,14.97,15.05,15.43,1384779
2026-08-25,ANMOL,ANMOL INDIA LIMITED,10.04,10.15,9.86,10.09,9.93,61511
2026-08-25,ANNAPURNA,ANNAPURNA SWADISHT LTD,152.0,158.0,146.55,148.65,148.0,95753
2026-08-25,ANSALBU,ANSAL BUILDWELL LTD.,74.97,75.0,74.0,74.0,74.98,5001
2026-08-25,ANTGRAPHIC,ANTARCTICA LTD,0.75,0.75,0.73,0.73,0.73,121406
2026-08-25,ANTELOPUS,ANTELOPUS SELAN ENRGY LTD,793.55,798.4,780.35,786.6,798.65,63120
2026-08-25,ANTHEM,ANTHEM BIOSCIENCES LTD,888.95,895.0,871.0,874.7,883.35,317840
2026-08-25,AWHCL,ANTONY WASTE HDG CELL LTD,378.0,386.8,377.35,379.55,381.1,47069
2026-08-25,ANUHPHR,ANUH PHARMA LIMITED,79.29,79.29,77.01,77.27,78.83,20147
